,0
0,2.0448349
1,4.8989794e-05
2,1.9063164
3,4.8989794e-05
4,2.215102
5,4.8989794e-05
6,2.5174668
7,4.8989794e-05
8,2.1426044
9,4.8989794e-05
10,2.751938
11,4.8989794e-05
12,1.9265621
13,4.8989794e-05
14,2.0504265
15,4.8989794e-05
16,2.617541
17,4.8989794e-05
18,1.5199553
19,4.8989794e-05
20,2.1251128
21,4.8989794e-05
22,1.5015439
23,4.8989794e-05
24,2.1158903
25,4.8989794e-05
26,1.6536074
27,4.8989794e-05
28,1.6892984
29,4.8989794e-05
30,1.88391
31,4.8989794e-05
32,1.3670487
33,4.8989794e-05
34,2.202265
35,4.8989794e-05
36,1.795687
37,4.8989794e-05
38,1.9670568
39,4.8989794e-05
40,2.1861506
41,4.8989794e-05
42,2.2812254
43,4.8989794e-05
44,2.8335147
45,4.8989794e-05
46,2.6166859
47,4.8989794e-05
48,2.1999373
49,4.8989794e-05
50,1.8375632
51,4.8989794e-05
52,1.4382198
53,4.8989794e-05
54,1.7131512
55,4.8989794e-05
56,2.5964088
57,4.8989794e-05
58,1.6797364
59,4.8989794e-05
60,1.9653776
61,4.8989794e-05
62,2.0237231
63,4.8989794e-05
64,2.6595602
65,4.8989794e-05
66,1.3534281
67,4.8989794e-05
68,2.5885165
69,4.8989794e-05
70,2.2082715
71,4.8989794e-05
72,2.152054
73,4.8989794e-05
74,1.321793
75,4.8989794e-05
76,2.0813508
77,4.8989794e-05
78,2.0655243
79,4.8989794e-05
80,1.7896738
81,4.8989794e-05
82,1.7587956
83,4.8989794e-05
84,2.0696383
85,4.8989794e-05
86,1.748548
87,4.8989794e-05
88,2.0310297
89,4.8989794e-05
90,2.168135
91,4.8989794e-05
92,2.2155602
93,4.8989794e-05
94,2.062518
95,4.8989794e-05
96,2.5000107
97,4.8989794e-05
98,1.7125851
99,4.8989794e-05
100,1.5641329
101,4.8989794e-05
102,2.5522053
103,4.8989794e-05
104,2.3576746
105,4.8989794e-05
106,1.2579856
107,4.8989794e-05
108,2.8044283
109,4.8989794e-05
110,1.818622
111,4.8989794e-05
112,2.3828852
113,4.8989794e-05
114,1.811003
115,4.8989794e-05
116,2.213101
117,4.8989794e-05
118,1.1584572
119,4.8989794e-05
120,1.7296034
121,4.8989794e-05
122,0.9806491
123,4.8989794e-05
124,2.3117127
125,4.8989794e-05
126,2.3192718
127,4.8989794e-05
128,1.41993
129,4.8989794e-05
130,1.9741511
131,4.8989794e-05
132,1.2892768
133,4.8989794e-05
134,1.5127516
135,4.8989794e-05
136,1.6096625
137,4.8989794e-05
138,1.910478
139,4.8989794e-05
140,2.0221596
141,4.8989794e-05
142,2.161518
143,4.8989794e-05
144,1.0871929
145,4.8989794e-05
146,1.9661934
147,4.8989794e-05
148,1.3422878
149,4.8989794e-05
150,2.685574
151,4.8989794e-05
152,2.3408234
153,4.8989794e-05
154,2.3821807
155,4.8989794e-05
156,2.5830553
157,4.8989794e-05
158,1.918006
159,4.8989794e-05
160,2.6869714
161,4.8989794e-05
162,2.476351
163,4.8989794e-05
164,2.6819215
165,4.8989794e-05
166,1.3202616
167,4.8989794e-05
168,1.4897052
169,4.8989794e-05
170,2.3531623
171,4.8989794e-05
172,2.2008367
173,4.8989794e-05
174,2.562531
175,4.8989794e-05
176,3.1981003
177,4.8989794e-05
178,1.633116
179,4.8989794e-05
180,2.1370106
181,4.8989794e-05
182,1.535404
183,4.8989794e-05
184,1.9329998
185,4.8989794e-05
186,3.9952538
187,4.8989794e-05
188,1.6195289
189,4.8989794e-05
190,2.6783347
191,4.8989794e-05
192,1.4962597
193,4.8989794e-05
194,2.8935492
195,4.8989794e-05
196,1.9149182
197,4.8989794e-05
198,1.6706431
199,4.8989794e-05
200,1.73754
201,4.8989794e-05
202,2.2514393
203,4.8989794e-05
204,1.4271038
205,4.8989794e-05
206,1.1548951
207,4.8989794e-05
208,1.928757
209,4.8989794e-05
210,1.4895587
211,4.8989794e-05
212,4.8989794e-05
213,4.8989794e-05
214,2.1765296
215,4.8989794e-05
216,1.9591959
217,4.8989794e-05
218,1.3174207
219,4.8989794e-05
220,1.1997154
221,4.8989794e-05
222,1.6243688
223,4.8989794e-05
224,1.298032
225,4.8989794e-05
226,2.619596
227,4.8989794e-05
228,1.3158809
229,4.8989794e-05
230,2.1339686
231,4.8989794e-05
232,1.1976914
233,4.8989794e-05
234,1.6713138
235,4.8989794e-05
236,1.421041
237,4.8989794e-05
238,2.8240368
239,4.8989794e-05
240,1.8308502
241,4.8989794e-05
242,1.6224419
243,4.8989794e-05
244,1.8696606
245,4.8989794e-05
246,1.3641105
247,4.8989794e-05
248,1.2173295
249,4.8989794e-05
250,2.1493762
251,4.8989794e-05
252,2.109189
253,4.8989794e-05
254,1.8023334
255,4.8989794e-05
256,2.1912384
257,4.8989794e-05
258,4.8989794e-05
259,4.8989794e-05
260,2.0504434
261,4.8989794e-05
262,1.294765
263,4.8989794e-05
264,1.4011999
265,4.8989794e-05
266,1.8339803
267,4.8989794e-05
268,1.2719984
269,4.8989794e-05
270,1.2799213
271,4.8989794e-05
272,1.5907841
273,4.8989794e-05
274,1.3314408
275,4.8989794e-05
276,2.7001364
277,4.8989794e-05
278,1.9322335
279,4.8989794e-05
280,2.4202287
281,4.8989794e-05
282,1.4511377
283,4.8989794e-05
284,2.1128538
285,4.8989794e-05
286,1.2021242
287,4.8989794e-05
288,1.8149217
289,4.8989794e-05
290,2.2407784
291,4.8989794e-05
292,2.8341637
293,4.8989794e-05
294,2.6198876
295,4.8989794e-05
296,2.0198972
297,4.8989794e-05
298,2.163429
299,4.8989794e-05
300,2.3736222
301,4.8989794e-05
302,1.6611948
303,4.8989794e-05
304,1.8183569
305,4.8989794e-05
306,1.1423807
307,4.8989794e-05
308,1.257076
309,4.8989794e-05
310,1.5072372
311,4.8989794e-05
312,1.4402708
313,4.8989794e-05
314,1.7450811
315,4.8989794e-05
316,1.3881375
317,4.8989794e-05
318,2.2630944
319,4.8989794e-05
320,3.1246383
321,4.8989794e-05
322,1.2427989
323,4.8989794e-05
324,2.3239775
325,4.8989794e-05
326,2.057796
327,4.8989794e-05
328,1.2324574
329,4.8989794e-05
330,1.4771426
331,4.8989794e-05
332,1.6628201
333,4.8989794e-05
334,1.6664491
335,4.8989794e-05
336,2.552513
337,4.8989794e-05
338,2.5067182
339,4.8989794e-05
340,2.182188
341,4.8989794e-05
342,1.6257006
343,4.8989794e-05
344,1.4342074
345,4.8989794e-05
346,1.5366284
347,4.8989794e-05
348,2.6841497
349,4.8989794e-05
350,1.2940725
351,4.8989794e-05
352,1.619651
353,4.8989794e-05
354,2.1576192
355,4.8989794e-05
356,1.3808631
357,4.8989794e-05
358,2.1478229
359,4.8989794e-05
360,1.7215217
361,4.8989794e-05
362,1.4644475
363,4.8989794e-05
364,1.8708556
365,4.8989794e-05
366,1.3107259
367,4.8989794e-05
368,1.7169735
369,4.8989794e-05
370,1.7682686
371,4.8989794e-05
372,1.8946085
373,4.8989794e-05
374,1.8538358
375,4.8989794e-05
376,2.1394658
377,4.8989794e-05
378,2.3391478
379,4.8989794e-05
380,2.4778829
381,4.8989794e-05
382,2.0544422
383,4.8989794e-05
384,1.4808031
385,4.8989794e-05
386,2.3615694
387,4.8989794e-05
388,1.86692
389,4.8989794e-05
390,2.8775234
391,4.8989794e-05
392,2.3633957
393,4.8989794e-05
394,2.6611795
395,4.8989794e-05
396,2.2649052
397,4.8989794e-05
398,2.3716161
399,4.8989794e-05
400,2.182807
401,4.8989794e-05
402,2.030636
403,4.8989794e-05
404,1.8100139
405,4.8989794e-05
406,2.082052
407,4.8989794e-05
408,2.5184467
409,4.8989794e-05
410,1.6316712
411,4.8989794e-05
412,1.7300551
413,4.8989794e-05
414,3.064833
415,4.8989794e-05
416,1.4465004
417,4.8989794e-05
418,1.3609291
419,4.8989794e-05
420,1.8898622
421,4.8989794e-05
422,2.093729
423,4.8989794e-05
424,1.6860412
425,4.8989794e-05
426,1.7737249
427,4.8989794e-05
428,1.430094
429,4.8989794e-05
430,1.4683113
431,4.8989794e-05
432,1.8936824
433,4.8989794e-05
434,2.292918
435,4.8989794e-05
436,1.1039785
437,4.8989794e-05
438,2.0376496
439,4.8989794e-05
440,1.9459221
441,4.8989794e-05
442,1.6359483
443,4.8989794e-05
444,2.5448384
445,4.8989794e-05
446,2.9991856
447,4.8989794e-05
